CONTABILIDAD,AÑO DE COMPRA,CODIGO,CÓDIGO SISMOB WEB,DESCRIPCION DEL BIEN,VALOR EN LIBROS,PORCENTAJE DE DEPRECIACIÓN, AÑOS TRANSCURRIDOS, PRECIO DEPRECIADO, TOTAL CONTABLE
1241 11471121 0002,21,6040021100069,"#N/A",1 Gabinete Metalico con 3 Entrepaños,"$                         6,348.99",10,1,"$                  5,714.09","$                         6,348.99"
2112004012PDI100155,21,6040021100078,"#N/A",GABINETE METÁLICO CON 3 ENTREPAÑOS,"$                         6,348.99",10,1,"$                   5,714.09","$                          6,348.99"
1241 11582520 0002,20,6040020100384,6040020000301,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100385,6040020000302,Mesa para Computadora,"$                      16,881.50",10,2,"$                 13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100386,6040020000303,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100387,6040020000304,Mesa para Computadora,"$                       16,881.50",10,2,"$                 13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100388,6040020000305,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100389,6040020000306,Mesa para Computadora,"$                      16,881.50",10,2,"$                 13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100390,6040020000307,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100391,6040020000308,Mesa para Computadora,"$                       16,881.50",10,2,"$                 13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100392,6040020000309,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100393,6040020000310,Mesa para Computadora,"$                       16,881.50",10,2,"$                 13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100394,6040020000311,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100395,6040020000312,Mesa para Computadora,"$                      16,881.50",10,2,"$                 13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100396,6040020000313,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100397,6040020000314,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100398,6040020000315,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100399,6040020000316,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                        16,881.50"
1241 11582520 0002,20,6040020100400,6040020000317,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100401,6040020000318,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100402,6040020000319,Mesa para Computadora,"$                       16,881.50",10,2,"$                13,505.20","$                       16,881.50"
1241 11582520 0002,20,6040020100403,6040020000320,Mesa para Computadora,"$                      16,881.50",10,2,"$                13,505.20","$                        16,881.50"
